_id,arrivalTime, timeBetweenArrivals, startingService, serviceTime , finishingTime
8971,2220.481, 0.146, 2220.633, 0.422, 2221.054
8972,2220.603, 0.122, 2221.054, 0.065, 2221.119
8973,2220.635, 0.032, 2221.119, 0.342, 2221.461
8974,2220.724, 0.089, 2221.461, 0.329, 2221.79
8975,2220.903, 0.179, 2221.79, 0.078, 2221.868
8976,2221.118, 0.215, 2221.868, 0.004, 2221.872
8977,2221.386, 0.267, 2221.872, 0.228, 2222.1
8978,2221.75, 0.365, 2222.1, 0.031, 2222.131
8979,2222.003, 0.253, 2222.131, 0.031, 2222.162
8980,2222.062, 0.06, 2222.162, 0.136, 2222.299
8981,2222.244, 0.181, 2222.299, 0.077, 2222.376
8982,2222.424, 0.181, 2222.424, 0.183, 2222.607
8983,2223.248, 0.824, 2223.248, 0.194, 2223.442
8984,2223.508, 0.261, 2223.508, 0.118, 2223.627
8985,2223.706, 0.198, 2223.706, 0.323, 2224.03
8986,2223.836, 0.13, 2224.03, 0.167, 2224.196
8987,2223.897, 0.061, 2224.196, 0.09, 2224.286
8988,2224.164, 0.267, 2224.286, 0.079, 2224.365
8989,2224.452, 0.288, 2224.452, 0.121, 2224.573
8990,2224.936, 0.484, 2224.936, 0.026, 2224.962
8991,2225.113, 0.177, 2225.113, 0.37, 2225.483
8992,2225.344, 0.231, 2225.483, 0.405, 2225.888
8993,2225.474, 0.131, 2225.888, 0.087, 2225.975
8994,2225.686, 0.212, 2225.975, 0.136, 2226.111
8995,2225.7, 0.014, 2226.111, 0.049, 2226.161
8996,2225.705, 0.005, 2226.161, 0.016, 2226.177
8997,2226.168, 0.463, 2226.177, 0.22, 2226.396
8998,2226.237, 0.069, 2226.396, 0.132, 2226.529
8999,2226.352, 0.115, 2226.529, 0.038, 2226.567
9000,2226.668, 0.316, 2226.668, 0.097, 2226.765
9001,2226.748, 0.08, 2226.765, 0.279, 2227.044
9002,2226.894, 0.146, 2227.044, 0.455, 2227.499
9003,2227.296, 0.403, 2227.499, 0.334, 2227.833
9004,2227.836, 0.539, 2227.836, 0.019, 2227.855
9005,2228.737, 0.901, 2228.737, 0.033, 2228.77
9006,2228.833, 0.096, 2228.833, 0.016, 2228.848
9007,2229.004, 0.172, 2229.004, 0.367, 2229.372
9008,2229.391, 0.387, 2229.391, 0.098, 2229.489
9009,2229.65, 0.259, 2229.65, 0.373, 2230.024
9010,2230.058, 0.408, 2230.058, 0.007, 2230.065
